,clusterNumber100,boundId,unboundId,bound_TechExp,unbound_TechExp,classification
0,118,1RCN_E,2G8Q_B 5OLD_B 3EV1_A 1JN4_A 3DXH_B 1RPH_A 3D6O_A 1RAT_A 1RNM_E 3D6P_A 3EV5_B 1KF5_A 3I6H_A 2QCA_A 4S0Q_B 3D6Q_A 6QE9_A 1DFJ_E 3EV1_B 2G8R_A 6XHE_B 1XPT_B 1O0O_A 1EOS_B 4G8V_A 1ROB_A 2AAS_A 5RSA_A 4PEQ_A 2XOG_A 1O0N_A 3EV0_A 1RNV_A 1RSM_A 2G8R_B 2RAT_A 6XHC_B 3EV2_A 3JW1_B 2G8Q_A 3EUX_B 6PVU_B 3EV3_B 1RNQ_A 4G8Y_B 3EUZ_B 3D7B_A 4S18_B 4S0Q_A 1O0F_B 5JML_B 1JS0_B 4G8V_B 1XPT_A 4RAT_A 2P42_A 1XPS_B 6GOK_B 1RPF_A 6XHD_A 3EV6_A 4G90_B 3D8Z_B 3DXG_A 3EV0_B 1RAR_A 4OT4_A 9RAT_A 1KF3_A 1KF7_A 1RND_A 3D8Z_A 5JML_A 5JMG_A 5OLD_A 1JS0_A 1O0F_A 1JVT_A 3EUY_A 1KF4_A 4J6A_A 4OT4_B 3EUY_B 1RBW_A 1C0C_A 1O0O_B 4G8Y_A 2P45_A 4RTE_A 5E5F_B 3EV3_A 3EUX_A 6XHE_A 3EV5_A 6PVX_A 1EOW_A 3D7B_B 1RNU_A 3D8Y_A 4ZZ4_A 1WBU_B 1U1B_B 3RN3_A 4QH3_A 5RAT_A 1O0M_A 6YO1_A 5E5F_A 5E5E_B 5OGH_A 3EV4_B 1RNN_E 6GOK_A 1JVT_B 1RBX_A 6XHD_B 6QE9_B 1WBU_A 4PEQ_C 6PVV_B 3D6O_B 2XOG_B 1O0H_A 3EV6_B 2XOI_A 6PVU_A 1XPS_A 1SSA_A 3D6P_B 2XOI_B 3DXG_B 1FS3_A 1RNY_A 4MXF_A 1O0M_B 5JMG_B 9RSA_B 1RNZ_A 1RNX_A 1RCA_A 9RSA_A 7RAT_A 1JS0_C 6XHC_A 5E5E_A 3JW1_A 1RNW_A 2E3W_A 1SSB_A 1BEL_A 3I6J_A 3EV4_A 6PVX_B 1RAS_A 1RNO_A 1O0H_B 3D6Q_B 6PVV_A 3DXH_A 3I67_A 3EUZ_A 2E33_B 6XHF_B 3D8Y_B 1RPG_A 6YO1_B 1U1B_A 4QH3_B 2P43_A 1C0B_A 1O0N_B 4G90_A 1JN4_B 2P42_C 4S18_A 1KF2_A 4MXF_B 7RSA_A 1EOS_A 1KF8_A 1RNC_A 6XHF_A 1SRN_A 1Z6D_B 8RAT_A 1Z6D_A,X-RAY DIFFRACTION,NEUTRON DIFFRACTION X-RAY DIFFRACTION SOLUTION NMR,"hydrolase (nucleic acid,rna) rna binding protein hydrolase(nucleic acid,hydrolase/dna,rna) hydrolase (phosphoric diester) hydrolase(endoribonuclease) hydrolase(phosphoric diester) lyase hydrolase/rna endonuclease, rna) hydrolase (endoribonuclease) hydrolase/hydrolase inhibitor complex (hydrolase/cytidylic acid) hydrolase(phosphoric diester,rna) ligase/hydrolase hydrolase/immune system hydrolase complex (endonuclease/inhibitor) unknown function hydrolase (nucleic acid"
1,144,6K4Y_C 7KHB_C 6XL5_C 6PST_I 6XH7_C 6PB6_C 6PB5_C 6GH5_C 3IYD_C,4ZH4_I 4XSZ_I 4ZH2_I 6VJS_H 5UAC_I 5TBZ_H 4LLG_I 4KN4_H 4MEX_C 4YG2_C 5UAC_C 4JKR_I 4YFX_C 4XSY_I 4LLG_C 4YFX_I 4XSY_C 6VJS_C 4MEY_I 4XSX_I 4LK0_I 6N58_I 4XSZ_C 4YFK_C 5TBZ_C 5BYH_C 4LJZ_I 4LK0_C 4MEY_C 5NWT_C 4ZH3_C 4YFK_I 4KMU_H 6P1K_I 4KMU_C 4ZH4_C 6R9B_C 6N57_I 4MEX_I 4YG2_I 4XSX_C 4LK1_C 4ZH3_I 6R9G_C 4YFN_C 4LJZ_C 5EZK_C 4LK1_I 4ZH2_C 4KN4_C 4JKR_C 4YFN_I,ELECTRON MICROSCOPY,X-RAY DIFFRACTION ELECTRON MICROSCOPY," transcription,transcription/rna transcription,transcription/dna, transferase transcription transferase transcription/antibiotic transferase/transcription transferase/transferase inhibitor transferase/antibiotic transcription/transcription inhibitor, transferase/dna"
2.1,153,6GH5_D_F 6XL5_D_T,4YFK_D 5UAH_D 5UAC_J 4YFN_J 5UI8_J 4KMU_D 4JKR_D 4XSY_D 4MEX_D 4JKR_J 4YFX_J 4LK1_J 4ZH3_J 4YG2_D 5UAL_D 4YFX_D 5BYH_D 4XSY_J 5UAG_D 4LK0_D 5TBZ_I 4MEY_D 4KN4_D 4XSZ_D 4LJZ_D 4ZH4_J 4YFN_D 4LK1_D 4MEX_J 6R9G_D 5UAJ_J 5UAC_D 5UAQ_D 4KN4_I 5TBZ_D 5UAQ_J 4YG2_J 5UAJ_D 4LK0_J 4LJZ_J 4YFK_J 5UAL_J 4ZH2_D 3LU0_D 4KMU_I 4ZH3_D 4ZH4_D 6R9B_D 4LLG_J 5NWT_D 6CUX_D 4MEY_J 4XSX_J 6CUX_J 5UAG_J 6VJS_D 6VJS_I 4ZH2_J 4XSX_D 4LLG_D 5UAH_J 4XSZ_J,ELECTRON MICROSCOPY,X-RAY DIFFRACTION ELECTRON MICROSCOPY," transcription,transcription/dna, transferase transferase transcription/antibiotic transferase/transcription transferase/transferase inhibitor transferase/antibiotic transcription/transcription inhibitor,transcription/rna transcription transcription, transferase/dna"
2.2,153,6PB5_D_2 6PB6_D_2 3IYD_D_J,4YFK_D 5UAH_D 5UAC_J 4YFN_J 5UI8_J 4KMU_D 4JKR_D 4XSY_D 4MEX_D 4JKR_J 4YFX_J 4LK1_J 4ZH3_J 4YG2_D 5UAL_D 4YFX_D 5BYH_D 4XSY_J 5UAG_D 4LK0_D 5TBZ_I 4MEY_D 4KN4_D 4XSZ_D 4LJZ_D 4ZH4_J 4YFN_D 4LK1_D 4MEX_J 6R9G_D 5UAJ_J 5UAC_D 5UAQ_D 4KN4_I 5TBZ_D 5UAQ_J 4YG2_J 5UAJ_D 4LK0_J 4LJZ_J 4YFK_J 5UAL_J 4ZH2_D 3LU0_D 4KMU_I 4ZH3_D 4ZH4_D 6R9B_D 4LLG_J 5NWT_D 6CUX_D 4MEY_J 4XSX_J 6CUX_J 5UAG_J 6VJS_D 6VJS_I 4ZH2_J 4XSX_D 4LLG_D 5UAH_J 4XSZ_J,ELECTRON MICROSCOPY,X-RAY DIFFRACTION ELECTRON MICROSCOPY," transcription,transcription/dna, transferase transferase transcription/antibiotic transferase/transcription transferase/transferase inhibitor transferase/antibiotic transcription/transcription inhibitor,transcription/rna transcription transcription, transferase/dna"
3,207,2AGP_A 1RYS_B 4TQR_A 2ASD_B,2RDI_A 3FDS_A,X-RAY DIFFRACTION,X-RAY DIFFRACTION,"transferase,transferase/dna"
4,362,5VOI_C 6CUU_C 4G7H_C 4G7H_M 4OIQ_C 4Q4Z_C 4OIP_C 4OIO_C 4OIR_C 4OIN_C 4G7Z_C 4G7Z_M,5TMF_C 4WQT_H 2A69_C 2A6H_C 2A68_M 2A69_M 1SMY_C 2A6E_M 2A6H_M 2A6E_C 2A68_C 6ASG_C 2CW0_C 3EQL_M 5TMC_C 3EQL_C 4WQT_C 1SMY_M 2CW0_M 5XJ0_C 4MQ9_C 3DXJ_C 3WOD_C 3DXJ_M 4WQT_M,X-RAY DIFFRACTION,X-RAY DIFFRACTION," transcription,transcription transferase transferase/transcription transcription,transferase transcription,transcription/dna, transcription/dna/antibiotic, transferase/dna, transferase, transcription/dna/rna, transferase/antibiotic"
5,376,5VOI_D 6CUU_D 4G7H_D 4OIQ_D 4OIP_D 4OIN_D 4G7Z_N 4G7Z_D,2A68_D 1SMY_D 2A6E_D 5XJ0_D 2A68_N 4WQT_D 4WQT_I 3EQL_D 6ASG_D 5TMC_D 2A6H_D 2A6H_N 3DXJ_N 3EQL_N 4WQT_N 2A69_D 3WOD_D 2A6E_N 1SMY_N 3DXJ_D 5TMF_D 4MQ9_D 2CW0_N 2CW0_D 2A69_N,X-RAY DIFFRACTION,X-RAY DIFFRACTION," transcription,transcription,transcription transferase transferase/transcription transcription,transferase transcription, transcription/dna/antibiotic, transferase/dna, transcription/dna/rna, transferase/antibiotic"
6,405,6K4Y_F 6PSV_L 7KHB_F 6XL5_F 6PSU_L 6CA0_F 7KHI_F 7KHE_F 6PST_L 6XH7_F 6PB6_F 6PB5_F,4ZH3_F 5UAG_L 6N58_L 4MEX_F 5UAJ_F 5UAH_L 5UAL_L 6P1K_L 4MEY_F 4LK1_F 4MEX_L 5UAC_L 6VJS_Y 4ZH4_F 4ZH3_L 4YFK_F 6N57_L 5UAQ_L 4LLG_F 4LK1_L 4MEY_L 5UAL_F 4YFN_L 4KN4_Y 5UAG_F 6VJS_X 4KMU_X 4YG2_L 6CUX_F 4JKR_F 4YFX_L 4YFN_F 4YG2_F 4KMU_Y 4YFX_F 5UAQ_F 5UAJ_L 4ZH4_L 5UAC_F 4ZH2_L 4JKR_L 4LLG_L 6CUX_L 4ZH2_F 4KN4_X 5UAH_F 4YFK_L,ELECTRON MICROSCOPY,X-RAY DIFFRACTION ELECTRON MICROSCOPY," transcription,transcription/dna, transferase/dna,transcription transferase transcription/antibiotic transcription/transcription inhibitor transferase/transcription transferase/transferase inhibitor transferase/antibiotic transcription, transferase"
7,469,6Q4U_A 5NKL_A 3SYZ_A,1KTQ_A 1JXE_A,X-RAY DIFFRACTION,X-RAY DIFFRACTION,"dna binding protein, transferase/dna,nucleotidyltransferase, transferase"
8.1,591,4G7Z_F_H 4OIR_F_H 4Q4Z_F_H 4OIO_F_H 4G7H_P_R 4G7Z_P_R 4OIQ_F_H 4G7H_F_H 5VOI_F_H 4OIP_F_H 4OIN_F_H,3DXJ_F 3DXJ_P 4MQ9_F 3WOD_F 5TMF_F 5XJ0_F,X-RAY DIFFRACTION,X-RAY DIFFRACTION," transcription,transferase transcription,transcription/dna, transferase/dna, transferase/antibiotic transferase/transcription, transferase, transcription/dna/rna, transferase/antibiotic"
8.2,591,4OIO_F_G,3DXJ_F 4MQ9_F 3DXJ_P 5TMF_F 5XJ0_F 3WOD_F,X-RAY DIFFRACTION,X-RAY DIFFRACTION," transcription,transferase transcription,transcription/dna, transferase/dna, transferase/antibiotic transferase/transcription, transferase, transcription/dna/rna, transferase/antibiotic"
9,856,5UHA_D 5UHD_D 5UHE_D,6C05_D 6FBV_D 6C06_D,X-RAY DIFFRACTION,ELECTRON MICROSCOPY,"transcription/dna, transcription/dna/rna,transcription/antibiotic transcription"
10.1,968,6DVD_C_H 5UHA_C_H 6DVE_C_H 5UHD_C_H 5UHG_C_H 5UHF_C_H 5UHE_C_H 5UHB_C_H,5ZX3_C 6FBV_C,X-RAY DIFFRACTION,X-RAY DIFFRACTION ELECTRON MICROSCOPY,"transcription/dna, transferase/dna, transcription/dna/rna,transcription"
10.2,968,5UHE_C_G 5UHA_C_G 5UHD_C_G,5ZX3_C 6FBV_C,X-RAY DIFFRACTION,X-RAY DIFFRACTION ELECTRON MICROSCOPY,"transcription/dna, transferase/dna, transcription/dna/rna,transcription"
11,972,3IYD_H,4R8H_B 2GZW_D 2GZW_B 4R8H_A 2GZW_C 4FT8_B 2WC2_B 2GZW_A 2WC2_A 4FT8_A,ELECTRON MICROSCOPY,X-RAY DIFFRACTION SOLUTION NMR,"transcription/dna,transcription activator transcription regulator transcription"
12,1142,3RMD_D 2P5G_B 7F4Y_B,2ATQ_A,X-RAY DIFFRACTION,X-RAY DIFFRACTION,"transferase/dna,transferase/dna binding protein"
13,1247,1KDH_A,4IQT_A 4I2I_A 4I2J_A 4IQU_A 4I2D_A 1KEJ_A 1JMS_A,X-RAY DIFFRACTION,X-RAY DIFFRACTION,"transferase transferase/transferase inhibitor,transferase/dna"
14.1,1302,5UHD_F_H 5UHE_F_H 5UHB_F_H 5UHF_F_H 6EEC_F_O 5UHG_F_H 6EDT_F_O 6EE8_F_O 5UHA_F_H,6C05_F 6FBV_F 6C06_F,"X-RAY DIFFRACTION, ELECTRON MICROSCOPY",ELECTRON MICROSCOPY,"transcription/dna, transcription/dna/rna,transcription/antibiotic transcription"
14.2,1302,6EDT_F_P,6C05_F 6FBV_F 6C06_F,"X-RAY DIFFRACTION, ELECTRON MICROSCOPY",ELECTRON MICROSCOPY,"transcription/dna, transcription/dna/rna,transcription/antibiotic transcription"
15,1417,6SKO_3 5U8T_3 5U8S_3,6EYC_3 6PTN_3 6PTN_j 5XF8_3 6PTJ_3 3JC6_3 3JC5_3 3JC7_3 3JA8_3,ELECTRON MICROSCOPY,ELECTRON MICROSCOPY,"nuclear protein hydrolase replication,replication"
16,1418,6SKO_7,3JC6_7 6PTJ_7 5XF8_7 6PTN_7 3JC7_7 3JC5_7 3JA8_7 6PTN_n 6EYC_7,ELECTRON MICROSCOPY,ELECTRON MICROSCOPY,"nuclear protein hydrolase replication,replication"
17,1503,6SKO_2 5U8T_2,6PTN_i 3JC6_2 5XF8_2 3JC5_2 6PTN_2 3JA8_2 3JC7_2 6EYC_2 6PTJ_2,ELECTRON MICROSCOPY,ELECTRON MICROSCOPY,"nuclear protein hydrolase replication,replication"
18,1504,6SKO_5 5U8T_5 5U8S_5,6PTN_5 3JC6_5 3JC5_5 6PTJ_5 3JA8_5 6EYC_5 3JC7_5 5XF8_5 6PTN_l,ELECTRON MICROSCOPY,ELECTRON MICROSCOPY,"nuclear protein hydrolase replication,replication"
19,1505,6SKO_6,6EYC_6 3JC7_6 6PTN_m 6PTJ_6 6PTN_6 3JC5_6 3JA8_6 3JC6_6 5XF8_6,ELECTRON MICROSCOPY,ELECTRON MICROSCOPY,"nuclear protein hydrolase replication,replication"
20,1602,6SKO_4,5XF8_4 3JA8_4 6EYC_4 3JC6_4 6PTN_4 3JC5_4 6PTJ_4 6PTN_k 3JC7_4,ELECTRON MICROSCOPY,ELECTRON MICROSCOPY,"nuclear protein hydrolase replication,replication"
21.1,1738,5IYC_A_Y 5IY8_A_Y,7F4G_A,ELECTRON MICROSCOPY,ELECTRON MICROSCOPY," transferase/dna,transcription"
21.2,1738,5IYB_A_Y 5IY7_A_Y,7F4G_A,ELECTRON MICROSCOPY,ELECTRON MICROSCOPY," transferase/dna,transcription"
22,1966,4A8F_B,1UVK_E 1UVK_C 4B02_B 1UVK_A 1HHS_C 4B02_A 1HHS_B 4B02_C 1HHS_A,X-RAY DIFFRACTION,X-RAY DIFFRACTION,transferase
23,2069,6CND_A 6CNF_A 6CNB_A 6CNC_A,6TUT_A 6EU2_A 6EU3_A 5FJ9_A 5FJA_A,ELECTRON MICROSCOPY,ELECTRON MICROSCOPY,"transcription/dna,transcription"
24,2070,6CNF_B 6CNC_B,6TUT_B 6EU3_B 6EU2_B 5FJ9_B 5FJA_B,ELECTRON MICROSCOPY,ELECTRON MICROSCOPY,"transcription/dna,transcription"
25,2255,3K70_F 3K70_C 1W36_C 1W36_F,7MR2_C 7MR1_C 7MR0_C,X-RAY DIFFRACTION,ELECTRON MICROSCOPY,"hydrolase/dna,hydrolase, recombination"
26,2268,3K70_G,7MR2_D 7MR0_D 7MR1_D,X-RAY DIFFRACTION,ELECTRON MICROSCOPY,"hydrolase/dna,hydrolase"
27,2390,3ZH2_B,2A94_A 1T26_A 1T2D_A 1U5C_A 4B7U_C 1T24_A 4B7U_B 1T25_A 1XIV_A 4B7U_A 1U5A_A 4B7U_D 2X8L_A 1T2C_A 1U4S_A,X-RAY DIFFRACTION,X-RAY DIFFRACTION,oxidoreductase
28,2440,7JY6_B 7JY6_A 7JY6_G 7JY6_C 7JY6_E 7JY6_H 7JY6_D 7JY6_F 7JY6_I 7JY7_E 7JY7_D 7JY7_F 7JY7_G 7JY7_H 7JY7_I 7JY9_E 7JY9_G 7JY9_H 7JY9_I 7JY9_F 7JY8_G 7JY8_E 7JY8_H 7JY8_I 7JY8_F,1N03_F 1N03_E 2REC_A 1XMV_A 1N03_G 1N03_A 1U94_A 2REC_F 1N03_D 1N03_B 2REC_B 2REC_C 1N03_C 2REC_E 2REB_A 2REC_D,ELECTRON MICROSCOPY,X-RAY DIFFRACTION ELECTRON MICROSCOPY,"dna binding protein/dna,dna binding protein helicase"
29,2462,6CUU_F,2A6E_F 3EQL_F 1SMY_P 1SMY_F 2CW0_F 5TMC_F 2A6H_P 2A68_F 2CW0_P 2A6H_F 2A69_P 2A6E_P 2A69_F 3EQL_P 2A68_P,X-RAY DIFFRACTION,X-RAY DIFFRACTION,"transferase,transcription/dna/antibiotic"
30.1,3323,5DQT_I_P 5DLJ_A_H 5DQT_K_G 5VVL_A_J 5DLJ_D_G 5DQT_A_H 5DQT_L_O 5DQU_D_I 5DQU_A_H 5VVJ_A_H 5WFE_A_H 5VVJ_C_G 5VVL_C_K 5DQZ_A_G 5DQT_D_G 5DQZ_D_H,3NKD_B 3NKD_A,"X-RAY DIFFRACTION, ELECTRON MICROSCOPY",X-RAY DIFFRACTION,"hydrolase/dna, dna binding protein/dna,immune system"
30.2,3323,5DQZ_B_G 5DQZ_C_H,3NKD_B 3NKD_A,"X-RAY DIFFRACTION, ELECTRON MICROSCOPY",X-RAY DIFFRACTION,"hydrolase/dna, dna binding protein/dna,immune system"
31,3571,2ES2_A,1NMF_A 1NMG_A 2F52_A 6T00_A,X-RAY DIFFRACTION,X-RAY DIFFRACTION SOLUTION NMR,"gene regulation,structural protein dna binding protein/transcription transcription regulation"
32,3665,6EDT_C,6C06_C 6C05_C,ELECTRON MICROSCOPY,ELECTRON MICROSCOPY,"transcription/dna,transcription/antibiotic transcription"
33,4004,7F49_A,1OAK_A 1SQ0_A 1AUQ_A,X-RAY DIFFRACTION,X-RAY DIFFRACTION,"blood clotting,complex (willebrand/immunoglobulin) willebrand blood clotting"
34,4542,4DPV_Z,1C8H_A 2CAS_A 6OAS_1,X-RAY DIFFRACTION,X-RAY DIFFRACTION ELECTRON MICROSCOPY,"virus/dna,virus"
35,4708,3GLG_F 3GLG_A 3GLF_F 3GLF_A 3GLI_F 3GLI_A,1JQJ_D 1JQJ_C 1JR3_D 3GLH_F 3GLH_K 3GLH_A,X-RAY DIFFRACTION,X-RAY DIFFRACTION,"transferase,transferase/dna"
36,4871,3K70_E 3K70_B 1W36_B 1W36_E,7MR0_B 7MR2_B 7MR1_B,X-RAY DIFFRACTION,ELECTRON MICROSCOPY,"hydrolase/dna,hydrolase, recombination"
37,5286,3G2C_A 3G2C_B,3G1K_B 3G0A_A 3FZI_A 3G1K_A,X-RAY DIFFRACTION,X-RAY DIFFRACTION,"hydrolase/dna,hydrolase"
38,5950,3KQU_A 3KQU_C 3KQU_B 3KQU_D 3KQU_E 3KQU_F 3KQL_B 3KQL_A 3KQH_B 3KQH_A 3KQK_B 3KQK_A 3KQN_A,5E4F_B 5E4F_A,X-RAY DIFFRACTION,X-RAY DIFFRACTION,"hydrolase/dna,hydrolase"
39,5960,5YWV_B 5YWT_A,2IOC_B 3MXJ_B 3MXJ_A 2IOC_A,X-RAY DIFFRACTION,X-RAY DIFFRACTION,"dna binding protein, dna binding protein/dna,hydrolase"
40,5978,5HRU_B 5HTO_B 5HTO_E,6TXR_D 5HS4_A 2A92_D 2A92_A 6TXR_A 6TXR_B 2A92_C 2A92_B 6TXR_C 2AA3_C 2AA3_B 2AA3_D 2AA3_A,X-RAY DIFFRACTION,X-RAY DIFFRACTION,"oxidoreductase/dna,dna oxidoreductase"
41,6134,6K3J_A,4ROV_A 3E1U_A 4ROV_B 2KBO_A 3IQS_A,SOLUTION NMR,X-RAY DIFFRACTION SOLUTION NMR,"hydrolase/dna,hydrolase"
42,6314,4H5Q_A 4H5Q_C 4H5Q_B,3LYF_A 4H5M_F 4H5M_E 4H5M_C 3LYF_C 4H5M_D 4H5M_B 4H5M_A 3LYF_D 3LYF_B,X-RAY DIFFRACTION,X-RAY DIFFRACTION,"viral protein/dna,viral protein"
43,6565,2O59_B 2O54_B 2O19_B,1D6M_A,X-RAY DIFFRACTION,X-RAY DIFFRACTION,"isomerase/dna,isomerase"
44,6769,5Y3L_B 5Y3L_A 5Y3K_B 5Y3K_A 5Y3J_B 5Y3J_A,3WPB_A,X-RAY DIFFRACTION,X-RAY DIFFRACTION,"dna binding protein,immune system"
45,7701,5DLO_A,4MZM_B 4MZM_C 2MF2_B 4MZP_H 4MZM_A 4MZP_D 4MZP_B 4MZP_A 4MZP_E 4MZP_G 2MF2_A 4MZT_A 4MZP_F 4MZP_C 4MZT_B 4MZM_D,X-RAY DIFFRACTION,X-RAY DIFFRACTION SOLUTION NMR,hydrolase
46,8368,4A8Y_C 4A8S_C 4A8S_B 4A8Q_C,4A8O_B 4A8O_C 4A8O_A,X-RAY DIFFRACTION,X-RAY DIFFRACTION,"transferase,transferase/dna"
47,8444,6CQI_A 6CQ2_A,5D5H_A 5UJ1_A,X-RAY DIFFRACTION,X-RAY DIFFRACTION,"isomerase/dna,isomerase"
48,9087,3N1J_A 3N1I_A,3N1H_A,X-RAY DIFFRACTION,X-RAY DIFFRACTION,"dna binding protein,dna binding protein/dna"
49,9114,4HQX_A 4HQU_A,1PDG_C 1PDG_A 1PDG_B,X-RAY DIFFRACTION,X-RAY DIFFRACTION,"growth factor immune system,hormone/dna"
50,9569,4A76_A 4A76_G 4A76_E 4A76_C 4A75_G 4A75_E 4A75_C 4A75_A,3ULJ_B 3ULJ_A,X-RAY DIFFRACTION,X-RAY DIFFRACTION,"dna binding protein,chaperone/dna"
51,10201,2C62_A 2C62_B 6YCS_A 6YCS_C 6YCS_B 6YCS_D,1PCF_B 2PHE_B 1PCF_D 1PCF_G 1PCF_E 1PCF_H 1PCF_F 1PCF_A 2PHE_A 1PCF_C,X-RAY DIFFRACTION,X-RAY DIFFRACTION SOLUTION NMR,transcription
52,10473,6YKF_A 6YJB_A,6YEX_B 6YEX_A,X-RAY DIFFRACTION,X-RAY DIFFRACTION,hydrolase
53,10572,6GVT_B 6GVQ_B 6GVU_B,6GT7_A,SOLUTION NMR,SOLUTION NMR,"dna binding protein,transferase"
54,10573,6JDG_B 6JDG_A,5YUO_D 5YUN_B 5YUN_C 5YUN_A 5YUO_B 5YUO_C 5YUN_D 5YUO_A,X-RAY DIFFRACTION,X-RAY DIFFRACTION,"dna binding protein,dna binding protein/dna"
55,10665,1M07_B 1M07_A,1BC4_A,X-RAY DIFFRACTION,SOLUTION NMR,"hydrolase/dna,hydrolase"
56,11359,4KI2_A,1KU2_A 1KU2_B,X-RAY DIFFRACTION,X-RAY DIFFRACTION,"transcription/dna,transcription"
57,11516,5F55_A 5F56_A,5F54_A,X-RAY DIFFRACTION,X-RAY DIFFRACTION,"dna binding protein,dna binding protein/dna"
58,12743,3QYX_A,3QF3_F 3QF3_C 3QF3_D 3QF3_B 3QWG_B 3QF3_A 3QWG_A 3QF3_E,X-RAY DIFFRACTION,X-RAY DIFFRACTION,"transcription/dna,transcription"
59,12955,4K8X_A,1QHT_A,X-RAY DIFFRACTION,X-RAY DIFFRACTION,"transferase,transferase/dna"
60,13159,4LUP_A,2MAO_A,X-RAY DIFFRACTION,SOLUTION NMR,"transcription/dna,transcription"
61,15654,6QEM_B 6QEM_A 6QEM_C 6QEM_E 6QEM_D 6QEM_F,6BBM_B 6QEL_F 6QEL_D 6QEL_C 6QEL_B 6QEL_E 6BBM_A 6BBM_F 6BBM_E 6QEL_A 6BBM_D 6BBM_C,ELECTRON MICROSCOPY,ELECTRON MICROSCOPY,replication
62,15957,2VTB_D 2VTB_C 2VTB_A 2VTB_E,2J4D_B 2IJG_X 2J4D_A,X-RAY DIFFRACTION,X-RAY DIFFRACTION,"dna binding protein lyase,lyase/dna, dna binding protein"
63,16496,1X0F_A,1IQT_A,SOLUTION NMR,SOLUTION NMR,"transcription/dna,rna binding protein"
64,16754,3RA0_A,3R9Z_A 3R9Y_A,X-RAY DIFFRACTION,X-RAY DIFFRACTION,"dna binding protein,dna binding protein/dna"
65,16895,5K7Z_B,5K7F_B 5K7F_A 5K7H_B 5K7H_A,X-RAY DIFFRACTION,X-RAY DIFFRACTION,transcription
66,17174,3GP8_A 3GPL_A 3GPL_B,3E1S_A,X-RAY DIFFRACTION,X-RAY DIFFRACTION,"hydrolase/dna,hydrolase"
67,17313,5IP3_C 5IP3_B 5IP3_A,5IP1_A 5IP1_B 5IP1_C,X-RAY DIFFRACTION,X-RAY DIFFRACTION,"viral protein/dna,viral protein"
68,17461,3SZ5_A,3SYY_A 3SZ4_A,X-RAY DIFFRACTION,X-RAY DIFFRACTION,"hydrolase/dna,hydrolase"
69,18986,3DNV_B,2WIU_B 2WIU_D,X-RAY DIFFRACTION,X-RAY DIFFRACTION,"transcription/dna,transferase/transcription"
70,19510,2A0I_A,2Q7T_B 2Q7T_A 2Q7U_A 2Q7U_B,X-RAY DIFFRACTION,X-RAY DIFFRACTION,"hydrolase/dna,hydrolase"
71.1,19514,5ZVA_A_C 5ZVB_A_C,4J4J_B 4J4J_A,X-RAY DIFFRACTION,X-RAY DIFFRACTION,"structural protein/dna,hydrolase"
71.2,19514,5ZVA_B_C 5ZVB_B_C,4J4J_B 4J4J_A,X-RAY DIFFRACTION,X-RAY DIFFRACTION,"structural protein/dna,hydrolase"
72,21966,5TKZ_B 5TKZ_A,5BJR_A 5BJR_B,X-RAY DIFFRACTION,X-RAY DIFFRACTION,splicing
73,23556,6QEM_G 6QEM_J 6QEM_K,6QEL_J 6QEL_I 6QEL_L 6QEL_H 6QEL_K 6QEL_G,ELECTRON MICROSCOPY,ELECTRON MICROSCOPY,replication
