,clusterNumber100,boundId,unboundId,bound_TechExp,unbound_TechExp,classification
0,118,1RCN_E,4OT4_B 1A2W_A 1RNU_A 3LXO_A 1RNO_A 1WBU_B 1RNW_A 1RNV_A 3I7W_A 1Z6D_B 3EV1_A 1JVU_B 5NJ7_B 2W5G_B 1RBX_A 4J69_A 1DFJ_E 1KF3_A 2P4A_A 1RNQ_A 6XHF_A 1BZQ_D 6XW0_BBB 2P45_A 1EOS_B 4J60_A 4G90_B 4J66_A 4PEQ_C 6GOK_A 1RBB_B 1ROB_A 9RSA_A 6PVV_B 1QHC_A 3EV5_B 6F60_B 3EUX_B 6XHF_B 1U1B_B 1BZQ_A 6PVW_A 4G8V_A 3EV0_B 2W5K_B 6XHC_B 2BLZ_A 5RAT_A 4J67_A 2W5I_A 4J61_A 6ETP_A 2P43_A 6ETN_A 4J6A_A 3I67_A 2P47_A 6PVU_A 4J63_A 4POU_A 5JMG_A 3EV6_A 1RNN_E 4S0Q_B 1C0C_A 1JVT_B 5JML_B 5E5F_B 5JLG_B 3D8Y_B 3DXG_A 6XVX_AAA 3EV4_B 9RAT_A 3D6Q_A 2W5M_A 3A1R_A 1EOW_A 6QE9_A 1RCA_A 6ETK_A 1EOS_A 2W5G_A 5JMG_B 2RNS_A 4RTE_A 1RNY_A 4PEQ_A 1JVV_B 3EUY_A 1JN4_B 6ETL_A 7RSA_A 3D8Z_A 4MXF_B 2P42_A 6XVX_BBB 1U1B_A 6ETQ_A 3EV1_B 6XHD_A 1JS0_C 3D6O_A 3EUZ_A 2QCA_A 2P46_A 4OT4_A 2P42_C 1JVU_A 4J5Z_A 1RPH_A 3DXG_B 4G8V_B 1RBN_A 3I6F_A 1RBW_A 4G8Y_A 3D8Z_B 1C0B_A 6RSA_A 3EUX_A 1XPT_A 2W5I_B 5E5E_A 2RAT_A 1JN4_A 6XHC_A 1QHC_B 1BZQ_C 3EV2_B 2W5K_A 1WBU_A 3EUZ_B 6XHD_B 1RNM_E 4RAT_A 6QE9_B 4J64_A 3DXH_A 6PVV_A 2W5L_A 1JVT_A 9RSA_B 5NJ7_A 1AQP_A 6XW0_AAA 1A2W_B 3D6O_B 6PVU_B 3DXH_B 5E5E_B 3MZR_A 2E33_B 1BEL_A 3D6P_B 3EV6_B 5E5F_A 3EV3_B 1BZQ_B 4MXF_A 2P48_A 2W5L_B 1RNX_A 1RPF_A 5OGH_A 6PVW_B 1RNZ_A 2W5M_B 6ETM_A 3EV2_A 6ETO_A 2E3W_A 1KF2_A 1RAR_A 6XHE_B 3EV4_A 3EV0_A 3RN3_A 6PVX_B 1XPS_A 3D8Y_A 3QSK_A 8RAT_A 3D7B_A 1RAT_A 4J65_A 2BLP_A 6PVX_A 1RBB_A 5JML_A 2P49_A 1RUV_A 1JVV_A 2P46_C 3D6Q_B 3DH5_A 1XPS_B 3MZQ_A 1XPT_B 4G90_A 6XHE_A 4G8Y_B 2P44_A 1RAS_A 6F60_A 1JS0_B 3EV5_A 1RTB_A 3EUY_B 3D7B_B 6ETR_A 1Z6D_A 1RPG_A 4J62_A 5JLG_A 6GOK_B 7RAT_A 2P4A_C 3EV3_A 3D6P_A 1JS0_A 4S0Q_A 5RSA_A,X-RAY DIFFRACTION,X-RAY DIFFRACTION NEUTRON DIFFRACTION,"hydrolase/dna,rna) hydrolase(phosphoric diester) complex (endonuclease/inhibitor) hydrolase (nucleic acid,rna) endonuclease hydrolase(endoribonuclease) ligase/hydrolase,hydrolase (endoribonuclease) hydrolase/rna hydrolase(nucleic acid, rna) complex (hydrolase/cytidylic acid) unknown function hydrolase hydrolase(phosphoric diester,rna) hydrolase/hydrolase inhibitor lyase hydrolase/immune system hydrolase (phosphoric diester) endoribonuclease rna binding protein hydrolase (nucleic acid"
1,144,6N4C_C 6GH5_C 6XL5_C 6PST_I 3IYD_C 6XH7_C 7C17_C 6GFW_C,4KN7_C 6PSS_I 4JKR_I 5VT0_I 4LK1_I 5W1S_I 4XSX_C 4LLG_C 7KHB_C 5W1T_C 4JK1_H 4LK0_I 5MY1_X 4LK0_C 5VSW_C 4XSY_C 5TBZ_C 4LLG_I 5VSW_I 6C9Y_C 4JK1_C 6VJS_H 5EZK_C 6N58_I 4LK1_C 7KHI_C 4XSZ_I 4XSX_I 6WMU_C 4KN7_H 6P1K_I 4LJZ_C 5TBZ_H 5W1T_I 4XSZ_C 6VJS_C 7MKP_C 4JK2_C 6K4Y_C 7KHE_C 6PSU_I 4JK2_H 6PSW_I 6R9B_C 6PSV_I 6R9G_C 4JKR_C 4XSY_I 4LJZ_I 5W1S_C 6N57_I 7MKQ_C,ELECTRON MICROSCOPY,X-RAY DIFFRACTION ELECTRON MICROSCOPY," transcription/dna, transcription, transferase/dna,ribosome transcription/dna transcription/antibiotic transcription/rna transferase/antibiotic transferase transferase/dna transcription transcription, transferase,transcription"
2,153,6GH5_D 6XL5_D 3IYD_D 6Z9T_Y 6GFW_D,4LLG_J 3LU0_D 4LK0_J 5TBZ_I 5W1S_J 6WMU_D 4LK0_D 5W1S_D 6C9Y_D 4LK1_D 5VSW_J 4KN7_D 5W1T_J 6VJS_D 4XSY_D 7KHB_D 7KHI_D 5UI8_J 6R9B_D 4XSX_J 4LJZ_D 4XSX_D 6CUX_J 4JK2_D 4JK1_I 6K4Y_D 4JKR_J 4KN7_I 4LK1_J 4LJZ_J 5VT0_J 4XSZ_J 6CUX_D 6VJS_I 4XSZ_D 4LLG_D 5MY1_Y 4XSY_J 5W1T_D 5VSW_D 4JK2_I 6R9G_D 4JKR_D 5TBZ_D 4JK1_D 7KHE_D,ELECTRON MICROSCOPY,X-RAY DIFFRACTION ELECTRON MICROSCOPY," transcription/dna, transcription, transferase/dna,ribosome transcription/dna transcription/antibiotic transcription/rna transferase/antibiotic transferase transferase/dna transcription transcription, transferase,transcription"
3,161,7NKY_B,1I50_B 4BBR_B 1SFO_B 1NIK_B 1TWA_B 3QT1_B 3RZD_B 1I6H_B 1R5U_B 1TWG_B 5IP9_B 1NT9_B 1Y1V_B 3CQZ_B 5SVA_B 1TWC_B 1WCM_B 1I3Q_B 5U5Q_B 3J0K_B 3RZO_B 1PQV_B 1K83_B 3FKI_B 1TWH_B 5IP7_B 1TWF_B,ELECTRON MICROSCOPY,X-RAY DIFFRACTION ELECTRON MICROSCOPY," transferase transferase, transcription, transferase/dna transcription transcription/rna/dna transcription,transcription,transcription/dna-rna hybrid transcription/toxin transferase/transcription transferase transcription"
4,207,2AGP_A,2W9A_A 2W8K_A 3FDS_A 2W9B_B 2RDJ_B 2W9C_B 2W8L_A 2XCA_A 2RDI_A 2IA6_B 3T5K_A 3T5J_A 3T5L_A 2RDJ_A 2IBK_A 2XCP_B 3T5H_A 2XCP_A 4QW8_A 5EDW_A 4QW9_A 1JX4_A 2IA6_A,X-RAY DIFFRACTION,X-RAY DIFFRACTION,"transferase/dna,transferase transferase/dna dna/transferase"
5,362,4G7H_C 4G7H_M 2O5I_C 6CUU_C 2O5J_M 2O5J_C 6OY6_C 5I2D_C 5I2D_N 6OW3_C 6P70_C 5X22_C 5X22_M,4WQT_M 2A69_M 2A6E_C 4OIR_C 1ZYR_M 2A68_C 3EQL_M 4WQT_H 4OIN_C 2A6H_C 6ASG_C 5XJ0_C 4OIQ_C 5TMF_C 4OIP_C 5TMC_C 4WQT_C 2CW0_M 4Q4Z_C 2A68_M 3EQL_C 3DXJ_C 2A6H_M 2A6E_M 2BE5_M 2A69_C 1ZYR_C 2BE5_C 3DXJ_M 4OIO_C 2CW0_C,X-RAY DIFFRACTION,X-RAY DIFFRACTION,"transcription/dna, transcription, transferase/dna, transcription/dna/rna, transcription/dna/antibiotic,transferase transferase transferase/transcription transcription transcription, transferase/dna-rna hybrid,transcription, transferase/antibiotic transcription/dna transcription, transferase"
6,376,4G7H_D 2O5I_D 6CUU_D 2O5J_N 6P70_D,2A6E_D 3EQL_D 1ZYR_N 2A68_D 2A69_D 4Q4Z_D 2A68_N 2BE5_D 4OIO_D 1ZYR_D 2CW0_D 5TMF_D 2A6H_N 4WQT_I 3DXJ_N 4WQT_N 4OIQ_D 4WQT_D 2CW0_N 2BE5_N 2A6E_N 2A69_N 4OIN_D 3EQL_N 4OIR_D 5XJ0_D 2A6H_D 3DXJ_D 5TMC_D 4OIP_D 6ASG_D,X-RAY DIFFRACTION,X-RAY DIFFRACTION," transcription/dna, transferase/dna, transcription/dna/antibiotic,transferase transferase transferase/transcription transcription transcription, transferase/dna-rna hybrid,transcription, transferase/antibiotic transcription/dna transcription, transferase"
7,405,6XL5_F 6PST_L 6OUL_L 6XH7_F 7C17_F 7C97_F,6C9Y_F 6PSU_L 4KN7_X 7KHE_F 6CUX_L 5VSW_F 6PSV_L 4JK1_X 5W1S_L 5W1T_F 4JK2_Y 4JK2_X 6VJS_X 6N58_L 4JKR_F 5VSW_L 7KHB_F 6PSW_L 6K4Y_F 4JK1_Y 6CUX_F 7KHI_F 4LLG_F 4LK1_F 6P1K_L 5W1S_F 6VJS_Y 5W1T_L 4KN7_Y 6WMU_F 6PSS_L 4LK1_L 6N57_L 4JKR_L 4LLG_L,ELECTRON MICROSCOPY,X-RAY DIFFRACTION ELECTRON MICROSCOPY,"transcription/dna transcription/antibiotic transferase/antibiotic transferase transferase/dna transcription transcription, transcription/dna, transcription, transferase/dna, transferase,transcription"
8,469,3SYZ_A 3OJS_A 5NKL_A,3SV4_A 6Q4U_A 4ELU_A 4DFM_A 3RRH_A 4CCH_A 4C8L_A 1KTQ_A 4DF8_A 5SZT_A 4DFK_A 4C8M_A 4C8K_A 3RR7_A 4DFP_A 4ELT_A 3RTV_A 4ELV_A 3SV3_A 6Q4V_A 3RR8_A 4DFJ_A 4DF4_A 3RRG_A,X-RAY DIFFRACTION,X-RAY DIFFRACTION,"transferase,transferase transferase/dna nucleotidyltransferase dna binding protein, transferase/dna"
9,591,4G7H_F 4G7H_P 6OY7_F 6OY5_F 6OY6_F 5I2D_F 5I2D_Q 6OW3_F 6P70_F,4OIR_F 4OIN_F 4OIP_F 4OIQ_F 4Q4Z_F 3DXJ_F 3DXJ_P 5TMF_F 4OIO_F 5XJ0_F,X-RAY DIFFRACTION,X-RAY DIFFRACTION,"transcription/dna transcription, transcription/dna,transferase transferase transferase/transcription transcription, transferase/dna, transcription/dna/rna, transferase/antibiotic transcription,transcription, transferase"
